"config","type","n_obs","n_simulations","mcar","mar","mnar","outliers","DDC","m","R","k","(intercept)","X1","X2","X3"
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0925282294200844,-0.0206232890076433,0.0425980946327438,0.0268872997306328
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0883221715672233,-0.0189744308954578,0.0431956685418648,0.0197168292821851
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0900874801139607,-0.02058046372874,0.0423424558989419,0.0190356666552611
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0899600080047925,0.0360341478182796,-0.026175401906105,-0.0523677913509695
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.087110229374936,0.0366094678525853,-0.0278876145134393,-0.0513267482242546
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0899600080047924,0.0360341478182807,-0.0261754019061052,-0.0523677913509684
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0899151246567601,0.0367504689547538,-0.0286170108659808,-0.0585575823482152
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.00285982937513576,-0.229587320821826,-0.0404211446149363,-0.0924242087519901
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0018223599653326,-0.231368812451365,-0.0399834004510815,-0.0969103490417329
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.00273300627515667,-0.229651964802275,-0.0405061273533343,-0.0921130950914054
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.00427667498763829,-0.230478115228438,-0.0356599673562222,-0.0912281655851179
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.10822520518143,0.0191196097834762,0.0643124836004838,-0.0103003088154558
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.107535847322152,0.0166482512336536,0.0633491677215963,-0.0115795366300688
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.108206741376939,0.0191183375078644,0.0643149580715683,-0.0104244685835003
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.103539885804198,0.0195422609765849,0.0644756126736262,-0.0126627985995409
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0355798161267184,-0.0119796866351353,0.0801005756535277,-0.026351082736022
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0331242618888625,-0.00874178309447885,0.0810350419831023,-0.0236328396934585
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0355798161267184,-0.0119796866351353,0.0801005756535277,-0.026351082736022
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0338580129748807,-0.0110926517726585,0.0827032602838312,-0.0274024739147268
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0228103278682156,0.0742517941024901,-0.0317392366973002,0.0489986393728165
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0231093119062525,0.07273144490027,-0.0316145728689143,0.0466379006785535
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0228111521877651,0.0742529577029698,-0.0317327556447287,0.0489972027103551
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0207956981242914,0.0735658570505167,-0.0286320931509483,0.0483484527660848
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.00743925386113979,-0.0451753053252355,-0.0650994353702751,0.0217662954216984
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.00765582317430149,-0.0450142070705628,-0.0665756461595709,0.0232967976491056
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.00743925386113979,-0.0451753053252355,-0.0650994353702751,0.0217662954216984
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.00648539253341265,-0.0470058589305919,-0.0653326432664953,0.0252990155365559
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0953771978519154,-0.130048614915224,-0.0125833996040701,-0.0657934128385712
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0940715984376987,-0.130318554025507,-0.00805081048424466,-0.0626571620194251
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0957317323733155,-0.130590437936885,-0.0125297491549596,-0.0665621119841061
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0923311321595843,-0.132382706324604,-0.0122407460557094,-0.0623492189266302
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.113779274382063,0.0880524279562198,-0.0318750282415757,-0.0187924261423647
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.113213689964069,0.0939975085279251,-0.0268948719529575,-0.0178837967004875
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.113779274382063,0.0880524279562198,-0.0318750282415757,-0.0187924261423647
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.110763513117108,0.0902100044118636,-0.0319936298536822,-0.0251739834458418
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0478616548145559,0.00453802653270564,0.0117942556648181,0.0320852816692525
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0455135031333479,0.00460822522213693,0.0103418446820685,0.0281465036170616
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.047754245178557,0.00399264623952155,0.00952366834113271,0.0318555712118485
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.049733940954652,0.000815435112057698,0.00659747196825811,0.0278626697485789
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.122002540424558,-0.00612334539278854,0.00147710278631441,0.0234393702809058
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.109377346405615,-0.00184665325282159,0.0112936550854181,0.019516434317643
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.118406967677441,-0.00565414773680418,-0.000811715503803916,0.0213220293811227
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.114865864287554,-0.00492578964401181,0.0113270756211343,0.0226077603581861
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0380658299215966,-0.154619771505863,-0.172761112408657,-0.0752948358692067
